CSE583,1,70,37
CSE543,1,70,48
CMPSC431W,1,70,35
CMPSC461,1,70,38
CMPSC465,1,70,5
CMPSC448,1,70,2
CMPSC475,1,70,23
CMPSC497,1,70,30
CMPSC131,1,70,42
CMPSC132,1,70,25
CMPSC221,1,70,33
CMPSC360,1,70,13
CMPSC311,1,70,11
CMPEN270,1,70,52
CMPEN331,1,70,3
CMPEN351,1,70,43
CMPEN362,1,70,54
CMPEN411,1,70,28
CMPEN431,1,70,16
CMPEN441,1,70,24
CMPEN454,1,70,47
EE210,1,70,44
EE211,1,70,4
EE212,1,70,40
EE311,1,70,6
EE320,1,70,26
EE330,1,70,53
EE340,1,70,17
EE352,1,70,15
EE353,1,70,19
MATH140,1,70,36
MATH141,1,70,41
MATH230,1,70,50
MATH231,1,70,45
PHYS211,1,70,12
PHYS212,1,70,49
PHYS213,1,70,14
PHYS214,1,70,29
STAT318,1,70,21
STAT319,1,70,18
STAT414,1,70,39
STAT415,1,70,46
ECON101,1,70,51
ECON102,1,70,20
ECON201,1,70,27
CHEM110,1,70,10
CHEM111,1,70,31
CHEM112,1,70,34
IST110,1,70,1
IST558,1,70,32
IST128,1,70,7
DS220,1,70,8
DS120,1,70,9
DS410,1,70,22
CSE583,2,60,37
CSE543,2,60,48
CMPSC431W,2,60,35
CMPSC461,2,60,38
CMPSC465,2,60,5
CMPSC448,2,60,2
CMPSC475,2,60,23
CMPSC497,2,60,30
CMPSC131,2,60,42
CMPSC132,2,60,25
CMPSC221,2,60,33
CMPSC360,2,60,13
CMPSC311,2,60,11
CMPEN270,2,60,52
CMPEN331,2,60,3
CMPEN351,2,60,43
CMPEN362,2,60,54
CMPEN411,2,60,28
CMPEN431,2,60,16
CMPEN441,2,60,24
CMPEN454,2,60,47
EE210,2,60,44
EE211,2,60,4
EE212,2,60,40
EE311,2,60,6
EE320,2,60,26
EE330,2,60,53
EE340,2,60,17
EE352,2,60,15
EE353,2,60,19
MATH140,2,60,36
MATH141,2,60,41
MATH230,2,60,50
MATH231,2,60,45
PHYS211,2,60,12
PHYS212,2,60,49
PHYS213,2,60,14
PHYS214,2,60,29
STAT318,2,60,21
STAT319,2,60,18
STAT414,2,60,39
STAT415,2,60,46
ECON101,2,60,51
ECON102,2,60,20
ECON201,2,60,27
CHEM110,2,60,10
CHEM111,2,60,31
CHEM112,2,60,34
IST110,2,60,1
IST558,2,60,32
IST128,2,60,7
DS220,2,60,8
DS120,2,60,9
DS410,2,60,22
